AIM_OF_USE,RESOURCE_TYPE,OS_HOSTNAME,OS_IP_ADDRESS,VM_GUESTNAME,LOGICALY_HOSTED_ON,CHASSIS_NAME,CONSOLE_IP,CONSOLE_ACCESS_PROTOCOL,OS_TYPE,OS_TOTAL_CORE,OS_MEM_GB,OS_RELEASE,DR_HOSTNAME,INSTALL_DATE,OS_CLUSTER,CLUSTER_SW_INFO,CLUSTER_SW_VERSION,CLUSTER_SERVICE_IP,VF_SERVICE_DOMAIN,VF_SERVICE_NAME,VF_SERVICE_CLASS,VF_SERVICE_OWNER,OS_ADMIN,BIA_IN_SCOPE,ROW_ID,INSERT_DATE,MANAGED_BY_IT,MAXIMO_OWNER_GROUP,LIFECYCLE,COMMENTS
TEST,VIRTUAL,apiwebt1,172.25.67.109,apiwebt1,tuzla_preprod,tuzla_preprod,10.177.232.8,vsphere client,LINUX,4,16,rhel 6.4_x64 ,,1-Feb-16,no,na,na,na,IT,API Management,BS,Yigit Aslan,,no,5610,16-Mar-16,no,,,
TEST,VIRTUAL,ca_api_developer_prortal_v3.5,217.31.250.201,ca_api_developer_prortal_v3.5,tuzla_preprod,tuzla_preprod,10.177.232.8,vsphere client,LINUX,4,4,rhel 6.4_x64 ,,,no,na,na,na,IT,api management platform,,Metin Barut,,no,5611,16-Mar-16,no,,,
DR,PHYSICAL,ldomsrvdr2,10.183.5.100,na,na,t42-a,10.177.228.116,ssh,SOLARIS,1,16,11.4s,,4-Feb-16,NONE,,,,VFTR,DB,,Murat Yildirim,Murat Gokmen,,5613,4-Feb-16,yes,IT-UNIX,,
PRODUCTION,PHYSICAL,cpnmptcp,31.145.119.192,na,na,cpnmptcp,10.177.240.16,https,UBUNTU,24,196,NoInfo,,14-Mar-16,no,,,,CPN PLANNING,LTE WIFI,BB,Selcuk Duman,,,5661,28-Mar-16,no,CPNPLANNING,,
PRODUCTION,Enclosure,VASGZMENC01 OA-2,10.162.118.117,na,na,VASGZMENC01,10.162.118.117,https,HP-ONBOARD ADMIN,NA,NA,HP BLADE,,,no,na,na,na,IT,UNIX VMWARE CLUSTER,,Murat Yildirim,Murat Gokmen,,5703,8-Jul-15,yes,IT-UNIX,,
PRODUCTION,Enclosure,VASGZMENC01 OA-1,10.162.118.110,na,na,VASGZMENC01,10.162.118.110,https,HP-ONBOARD ADMIN,NA,NA,HP BLADE,,,no,na,na,na,IT,UNIX VMWARE CLUSTER,,Murat Yildirim,Murat Gokmen,,5704,8-Jul-15,yes,IT-UNIX,,
PRODUCTION,PHYSICAL,bckesnmed03,10.86.74.55,na,na,bckesnmed03,10.87.0.235,https,LINUX,24,128,rhel 7.4_x86_64,,18-Apr-18,no,na,na,na,Backup,Backup,BS,Bekir Hacibekir,Ugur Gurel,no,5761,12-Apr-16,yes,IT-BACKUP,,
PRODUCTION,VIRTUAL,cmdbaddm01,10.86.18.15,cmdbaddm01,EsyESXProd01,EsyESXProd01,10.86.14.60,vsphere client ,LINUX,8,32,rhel 6.7_x86_64,,15-Apr-16,no,na,na,na,IT,CMDB Discovery,BB,Timocin Apak,,no,5763,12-Nov-15,no,IT-SDEAM,,
PRODUCTION,VIRTUAL,cmdbsat01,10.86.18.16,cmdbsat01,EsyESXProd01,EsyESXProd01,10.86.14.60,vsphere client ,LINUX,4,8,rhel 6.7_x86_64,,15-Apr-16,no,na,na,na,IT,CMDB Discovery,BB,Timocin Apak,,no,5764,12-Nov-15,no,IT-SDEAM,,
PRODUCTION,VIRTUAL,cmdbsat03,10.178.251.27,cmdbsat03,Tuzla_CIT_DC,CIT-Tuzla,10.177.232.8,vsphere client ,LINUX,4,8,rhel 6.7_x86_64,,15-Apr-16,no,na,na,na,IT,CMDB Discovery,BB,Timocin Apak,,no,5765,12-Nov-15,no,IT-SDEAM,,
PRODUCTION,VIRTUAL,cmdbsat05,172.30.34.196,cmdbsat05,IzmEsxProd01,IzmEsxProd01,172.30.34.135,vsphere client ,LINUX,4,8,rhel 6.7_x86_64,,15-Apr-16,no,na,na,na,IT,CMDB Discovery,BB,Timocin Apak,,no,5766,12-Nov-15,no,IT-SDEAM,,
PRODUCTION,VIRTUAL,cmdbsat09,10.178.253.27,cmdbsat09,Ankara_CIT_DC,CIT-Ankara,10.177.234.8,vsphere client ,LINUX,4,8,rhel 6.7_x86_64,,15-Apr-16,no,na,na,na,IT,CMDB Discovery,BB,Timocin Apak,,no,5767,12-Nov-15,no,IT-SDEAM,,
PRODUCTION,PHYSICAL,bckanksrv,10.86.243.2,na,na,bckanksrv,10.86.232.37,https,LINUX,24,128,rhel 7.4_x86_64,,18-Apr-18,no,na,na,na,Backup,Backup,BS,Bekir Hacibekir,Ugur Gurel,no,5843,22-Apr-16,yes,IT-BACKUP,,
PRODUCTION,PHYSICAL,bckvnmed01,10.86.74.58,na,na,bckvnmed01,10.87.3.65,https,LINUX,24,128,rhel 7.4_x86_64,,18-Apr-18,no,na,na,na,Backup,Backup,BS,Bekir Hacibekir,Ugur Gurel,no,5861,12-Apr-16,yes,IT-BACKUP,,
PRODUCTION,PHYSICAL,bcktzlsrv,10.86.243.10,na,na,bcktzlsrv,10.183.3.216,https,LINUX,24,128,rhel 7.4_x86_64,,18-Apr-18,no,na,na,na,Backup,Backup,BS,Bekir Hacibekir,Ugur Gurel,no,5862,25-Apr-16,yes,IT-BACKUP,,
DR,PHYSICAL,esyse1,10.86.74.36,na,na,esyse1,10.86.4.11,ssh,SOLARIS,32,512,11.4s,,26-Apr-16,no,,,,IT,Emergency,MC,Murat Yildirim,Murat Gokmen,,5881,26-Apr-16,yes,IT-UNIX,,
DR,PHYSICAL,tzlse1,10.86.243.12,na,na,tzlse1,10.177.228.9,ssh,SOLARIS,32,512,10s_u11,,26-Apr-16,no,,,,IT,Emergency,MC,Murat Yildirim,Murat Gokmen,,5882,26-Apr-16,yes,IT-UNIX,,
DR,PHYSICAL,gzse1,172.30.27.60,na,na,gzse1,172.31.42.249,ssh,SOLARIS,32,512,10s_u11,,26-Apr-16,no,,,,IT,Emergency,MC,Murat Yildirim,Murat Gokmen,,5884,26-Apr-16,yes,IT-UNIX,,
PRODUCTION,PHYSICAL,bckvnsrv,10.86.74.57,na,na,bckizmsn1,10.87.3.66,https,LINUX,24,128,rhel 7.4_x86_64,,18-Apr-18,no,na,na,na,Backup,Backup,BS,Bekir Hacibekir,Ugur Gurel,no,5885,26-Apr-16,yes,IT-BACKUP,,
DR,PHYSICAL,tzlae1,10.162.84.8,na,na,emgrtzl,10.162.30.96-97,https,AIX,20,247,7.1.3.4,,26-Apr-16,no,,,,IT,Emergency,,Murat Yildirim,Murat Yildirim,,5981,10-May-16,yes,IT-UNIX,,
DR,PHYSICAL,esyae1,10.162.137.156,na,na,emgresy,10.87.12.60-61,https,AIX,20,247,7.1.3.4,,26-Apr-16,no,,,,IT,Emergency,,Murat Yildirim,Murat Yildirim,,5982,10-May-16,yes,IT-UNIX,,
DR,PHYSICAL,gzae1,10.162.86.210,na,na,emgrizm,172.31.87.233-234,https,AIX,20,247,7.1.3.4,,26-Apr-16,no,,,,IT,Emergency,,Murat Yildirim,Murat Yildirim,,5983,10-May-16,yes,IT-UNIX,,
PRODUCTION,VIRTUAL,vloggerp01,10.86.10.13,vloggerp01,EsyESXProd01,EsyESXProd01,10.86.14.60,vsphere client,LINUX,8,24,rhel 6.7_x86_64,,11-May-16,no,na,na,na,Security Information,Virtual Logger,BS,Deniz Demirel,,no,5984,22-Apr-16,no,TECHNOLOGY SEC,,
TEST,VIRTUAL,cbudb01,172.31.70.120,cbudb01,ENC_C7000_B,mp_vmm,172.31.70.18,hpvmconsole,HP-UX,10,40,B.11.31,,1-May-16,NA,NA,NA,NA,IT,Release Management,CBU,Ertun Ucyildiz,Murat Cavli,No,6005,11-May-16,yes,RELEASEMNGMNT,,
DR,PHYSICAL,gzhe1,172.31.35.210,NA,mp_gzhe1,mp_gzhe1,172.31.45.159,ssh,HP-UX,16,256,B.11.31,,1-May-16,NA,NO,NA,NA,IT,Emergency,MC,Murat Yildirim,Murat Cavli,,6010,11-May-16,yes,IT-UNIX,,
DR,PHYSICAL,gzhe2,172.31.82.110,NA,mp_gzhe2,mp_gzhe2,172.31.87.159,ssh,HP-UX,16,256,B.11.31,,1-May-16,NA,NO,NA,NA,IT,Emergency,MC,Murat Yildirim,Murat Cavli,,6011,11-May-16,yes,IT-UNIX,,
DR,PHYSICAL,esyhe1,10.86.32.210,NA,mp_esyhe1,mp_esyhe1,10.86.5.49,ssh,HP-UX,16,256,B.11.31,,1-May-16,NA,NO,NA,NA,IT,Emergency,MC,Murat Yildirim,Murat Cavli,,6012,11-May-16,yes,IT-UNIX,,
TEST,PHYSICAL,vmq,172.31.70.236,na,ENC_C7000_D,ENC_C7000_D,172.31.87.193,ssh,HP-UX,32,512,B.11.31,,1-Jan-16,NA,NA,NA,NA,IT,Unix,BB,Murat Yildirim,Murat Cavli,No,6013,11-May-16,yes,IT-UNIX,,
TEST,PHYSICAL,vmr,172.31.70.237,na,ENC_C7000_D,ENC_C7000_D,172.31.87.194,ssh,HP-UX,32,512,B.11.31,,1-Jan-16,NA,NA,NA,NA,IT,Unix,BB,Murat Yildirim,Murat Cavli,No,6014,11-May-16,yes,IT-UNIX,,
TEST,PHYSICAL,vms,172.31.70.238,na,ENC_C7000_D,ENC_C7000_D,172.31.87.195,ssh,HP-UX,32,512,B.11.31,,1-Jan-16,NA,NA,NA,NA,IT,Unix,BB,Murat Yildirim,Murat Cavli,No,6015,11-May-16,yes,IT-UNIX,,
TEST,VIRTUAL,cknnzi21,172.31.70.227,cknnzi21,ENC_C7000_C,mp_vmk,172.31.70.22,hpvmconsole,HP-UX,2,8,B.11.31,,1-Feb-15,NA,NA,NA,NA,IT,Release Management,CBU,Ertun Ucyildiz,Murat Cavli,No,6016,11-May-16,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,cknnau02,172.31.70.228,cbudu02,ENC_C7000_C,mp_vmk,172.31.70.22,hpvmconsole,HP-UX,2,8,B.11.31,,1-Feb-15,NA,NA,NA,NA,IT,Release Management,CBU,Ertun Ucyildiz,Murat Cavli,No,6017,11-May-16,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,cceydi21,172.31.70.226,cceydi21,ENC_C7000_D,mp_vmr,172.31.70.237,hpvmconsole,HP-UX,12,64,B.11.31,,1-Feb-15,NA,NA,NA,NA,IT,Release Management,CBU,Ertun Ucyildiz,Murat Cavli,No,6018,11-May-16,yes,RELEASEMNGMNT,,
PRODUCTION,PHYSICAL,inan5ldm1,10.162.206.140,na,na,inan5ldm1,10.86.251.10,ssh,SOLARIS,1,16,11.4s,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6049,1-May-16,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,inan5ldm2,10.162.206.141,na,na,inan5ldm2,10.86.251.11,ssh,SOLARIS,1,16,11.4s,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6050,1-May-16,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,inan5ldm3,10.162.206.142,na,na,inan5ldm3,10.86.251.12,ssh,SOLARIS,1,16,11.4s,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6051,1-May-16,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,inan5ldm4,10.162.206.143,na,na,inan5ldm4,10.86.251.13,ssh,SOLARIS,1,16,11.4s,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6052,1-May-16,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,inan6ldm1,10.162.206.144,na,na,inan6ldm1,10.86.251.14,ssh,SOLARIS,1,16,11.4s,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6053,1-May-16,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,inan6ldm2,10.162.206.145,na,na,inan6ldm2,10.86.251.15,ssh,SOLARIS,1,16,11.4s,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6054,1-May-16,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,inan6ldm3,10.162.206.146,na,na,inan6ldm3,10.86.251.16,ssh,SOLARIS,1,16,11.4s,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6055,1-May-16,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,inan6ldm4,10.162.206.147,na,na,inan6ldm4,10.86.251.17,ssh,SOLARIS,1,16,11.4s,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6056,1-May-16,yes,IT-INMNG,,
PRODUCTION,LOGICAL,inan5app3,10.162.206.164,inan5app3,inan5ldm1,inan5ldm1,10.162.206.140,vcc,SOLARIS,8,32,10s_u11,,1-May-16,yes,Solaris Cluster,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6057,1-May-16,yes,IT-INMNG,,
PRODUCTION,LOGICAL,inan5app4,10.162.206.165,inan5app4,inan5ldm2,inan5ldm2,10.162.206.141,vcc,SOLARIS,8,32,10s_u11,,1-May-16,yes,Solaris Cluster,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6059,1-May-16,yes,IT-INMNG,,
PRODUCTION,LOGICAL,inan5sgw1,10.162.206.162,inan5sgw1,inan5ldm1,inan5ldm1,10.162.206.140,vcc,SOLARIS,8,32,10s_u11,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6060,1-May-16,yes,IT-INMNG,,
PRODUCTION,LOGICAL,inan5sgw2,10.162.206.163,inan5sgw2,inan5ldm2,inan5ldm2,10.162.206.141,vcc,SOLARIS,8,32,10s_u11,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6061,1-May-16,yes,IT-INMNG,,
PRODUCTION,LOGICAL,inan6sgw1,10.162.206.182,inan6sgw1,inan6ldm1,inan6ldm1,10.162.206.144,vcc,SOLARIS,8,32,10s_u11,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6062,1-May-16,yes,IT-INMNG,,
PRODUCTION,LOGICAL,inan6sgw2,10.162.206.183,inan6sgw2,inan6ldm2,inan6ldm2,10.162.206.145,vcc,SOLARIS,8,32,10s_u11,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6064,1-May-16,yes,IT-INMNG,,
PRODUCTION,LOGICAL,inan6app4,10.162.206.185,inan6app4,inan6ldm2,inan6ldm2,10.162.206.145,vcc,SOLARIS,8,32,10s_u11,,1-May-16,yes,Solaris Cluster,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6065,1-May-16,yes,IT-INMNG,,
PRODUCTION,LOGICAL,inan6app1,10.162.206.180,inan6app1,inan6ldm3,inan6ldm3,10.162.206.146,vcc,SOLARIS,31,256,10s_u11,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6066,1-May-16,yes,IT-INMNG,,
PRODUCTION,LOGICAL,inan6app2,10.162.206.181,inan6app2,inan6ldm4,inan6ldm4,10.162.206.147,vcc,SOLARIS,31,256,10s_u11,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6067,1-May-16,yes,IT-INMNG,,
PRODUCTION,LOGICAL,inan5app1,10.162.206.150,inan5app1,inan5ldm3,inan5ldm3,10.162.206.143,vcc,SOLARIS,31,256,10s_u11,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6068,1-May-16,yes,IT-INMNG,,
PRODUCTION,LOGICAL,inan5app2,10.162.206.151,inan5app2,inan5ldm4,inan5ldm4,10.162.206.143,vcc,SOLARIS,31,256,10s_u11,,1-May-16,no,,,,IN,Prepaid Charging,MC,Dogan Kahraman,Murat Gokmen,,6069,1-May-16,yes,IT-INMNG,,
PRODUCTION,VIRTUAL,arcsightcon05,10.86.10.14,arcsightcon05,EsyESXProd01,EsyESXProd01,10.86.14.60,vsphere client,LINUX,8,32,rhel 6.7_x64 ,,17-May-16,no,na,na,na,IT Security,ARCHSIGHT,BS,Nihan Namoglu,,no,6104,16-Mar-16,no,TECHNOLOGY SEC,,
PRODUCTION,VIRTUAL,arcsightcon06,10.86.10.15,arcsightcon06,EsyESXProd01,EsyESXProd01,10.86.14.60,vsphere client,LINUX,8,32,rhel 6.7_x64 ,,17-May-16,no,na,na,na,IT Security,ARCHSIGHT,BS,Nihan Namoglu,,no,6105,16-Mar-16,no,TECHNOLOGY SEC,,
PRODUCTION,VIRTUAL,arcsightcon07,10.86.10.16,arcsightcon07,EsyESXProd01,EsyESXProd01,10.86.14.60,vsphere client,LINUX,8,32,rhel 6.7_x64 ,,17-May-16,no,na,na,na,IT Security,ARCHSIGHT,BS,Nihan Namoglu,,no,6106,16-Mar-16,no,TECHNOLOGY SEC,,
PRODUCTION,VIRTUAL,veir1gw5,10.177.242.56,veir1gw5,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,SOLARIS,16,16,11.4x,,25-May-16,no,,,,VAS,EIR,MC,Cuneyt Evran,Ozan Pekdemir,,6141,23-May-16,yes,IT-VAS3RD,,
PRODUCTION,VIRTUAL,veir1gw6,10.177.242.57,veir1gw6,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,SOLARIS,16,16,11.4x,,25-May-16,no,,,,VAS,EIR,MC,Cuneyt Evran,Ozan Pekdemir,,6142,23-May-16,yes,IT-VAS3RD,,
PRODUCTION,VIRTUAL,vipr1,10.86.18.18,vipr1,EsyESXProd01,EsyESXProd01,10.86.14.60,vsphere client ,LINUX,4,16,suse,,30-May-16,no,na,na,na,Storage,EMC Storage Applicance,BS,Bekir Hacibekir,,no,6181,26-May-16,no,IT-STORAGE,,
PRODUCTION,VIRTUAL,vipr2,10.86.18.19,vipr2,EsyESXProd01,EsyESXProd01,10.86.14.60,vsphere client ,LINUX,4,16,suse,,30-May-16,no,na,na,na,Storage,EMC Storage Applicance,BS,Bekir Hacibekir,,no,6182,26-May-16,no,IT-STORAGE,,
PRODUCTION,VIRTUAL,vipr3,10.86.18.20,vipr3,EsyESXProd01,EsyESXProd01,10.86.14.60,vsphere client ,LINUX,4,16,suse,,30-May-16,no,na,na,na,Storage,EMC Storage Applicance,BS,Bekir Hacibekir,,no,6183,26-May-16,no,IT-STORAGE,,
PRODUCTION,APPLIANCE,iLO Amplifier Pack,10.86.18.13,iLO Amplifier Pack,EsyESXProd01,EsyESXProd01,10.86.14.60,https,other linux,2,10,appliance,,,no,na,na,na,IT,ONEVIEW,,Murat Yildirim,Murat Gokmen,no,6201,27-May-16,yes,IT-UNIX,,
DR,PHYSICAL,pskle1,172.26.17.5,na,na,pskle1,10.86.232.43,ssh,LINUX,16,256,rhel 8.8_x86_64,,30-Apr-16,no,,,,IT,Emergency,MC,Murat Yildirim,Ugur Gurel,,6202,26-Apr-16,yes,IT-UNIX,,
DR,PHYSICAL,gzle1,172.31.23.140,na,na,gzle1,172.31.42.97,ssh,LINUX,16,256,rhel 8.6_x86_64,,30-Apr-16,no,,,,IT,Emergency,MC,Murat Yildirim,Ugur Gurel,,6203,26-Apr-16,yes,IT-UNIX,,
DR,PHYSICAL,tzlle1,10.162.97.24,na,na,tzlle1,10.86.249.121,ssh,LINUX,16,256,rhel 6.7_x86_64,,30-Apr-16,no,,,,IT,Emergency,MC,Murat Yildirim,Ugur Gurel,,6204,26-Apr-16,yes,IT-UNIX,,
DR,PHYSICAL,esyle1,10.86.125.253,na,na,esyle1,10.86.5.250,ssh,LINUX,16,256,rhel 7.9_x86_64,,30-Apr-16,no,,,,IT,Emergency,MC,Murat Yildirim,Ugur Gurel,,6205,26-Apr-16,yes,IT-UNIX,,
PRODUCTION,VIRTUAL,myssop01,185.11.12.78,myssop01,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,24,32,rhel 7.6_x86_64,,12-May-16,no,na,na,na,IT,mobile internet,BP,Yigit Aslan,Murat Cavli,no,6208,12-May-16,yes,IT-VASONLINE,,
PRODUCTION,VIRTUAL,myssop02,185.11.12.79,myssop02,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,24,32,rhel 7.6_x86_64,,12-May-16,no,na,na,na,IT,mobile internet,BP,Yigit Aslan,Murat Cavli,no,6209,12-May-16,yes,IT-VASONLINE,,
PRODUCTION,VIRTUAL,myssop03,185.11.12.80,myssop03,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,24,32,rhel 7.6_x86_64,,12-May-16,no,na,na,na,IT,mobile internet,BP,Yigit Aslan,Murat Cavli,no,6210,12-May-16,yes,IT-VASONLINE,,
PRODUCTION,VIRTUAL,mywebp03,185.11.12.70,mywebp03,EsyEsxProd_Linux,ESYMRCYENC02,10.86.14.60,vsphere client,LINUX,24,256,rhel 7.6_x86_64,,,no,na,na,na,IT,mobile internet,BC,Yigit Aslan,Murat Cavli,no,6214,16-May-16,yes,IT-VASONLINE,,
DR,PHYSICAL,t74gzm03-pri,172.31.42.110,primary,na,t74gzm03,172.31.42.242,"ssh,https",SOLARIS,1,16,11.4s,,27-May-16,no,,,,IT,unix,,Murat Yildirim,Murat Gokmen,,6242,3-Jun-16,yes,IT_INT_OPS,,
PRODUCTION,VIRTUAL,northiparser6,172.24.135.160,northiparser6,TZLESXPROD_LIN ,TZLESXPROD_LIN ,10.177.232.8,vsphere client,LINUX,16,32,rhel 8.9,,26-Jul-24,no,na,na,na,OSS,northi,,Esat Turgut,Murat Sari,no,6362,26-Jul-24,yes,MAXSUPP,,
PRODUCTION,VIRTUAL,northiparser7,172.24.135.161,northiparser7,TZLESXPROD_LIN ,TZLESXPROD_LIN ,10.177.232.8,vsphere client,LINUX,16,32,rhel 8.9,,26-Jul-24,no,na,na,na,OSS,northi,,Esat Turgut,Murat Sari,no,6363,26-Jul-24,yes,MAXSUPP,,
PRODUCTION,VIRTUAL,northiparser8,172.24.135.162,northiparser8,TZLESXPROD_LIN ,TZLESXPROD_LIN ,10.177.232.8,vsphere client,LINUX,16,32,rhel 8.9,,26-Jul-24,no,na,na,na,OSS,northi,,Esat Turgut,Murat Sari,no,6364,26-Jul-24,yes,MAXSUPP,,
PRODUCTION,PHYSICAL,kotsap1,192.168.3.103,na,na,kotsap1,172.27.0.111,https,LINUX,12,64,rhel 6.7_x86_64,,20-Jun-16,no,na,na,na,KKTC,ots,,Aytac Tanriverdi,Rukiye Ozturk,,6368,22-Jun-16,yes,KKTCITVAS,,
PRODUCTION,PHYSICAL,kotsap2,192.168.3.104,na,na,kotsap2,172.27.0.112,https,LINUX,12,64,rhel 6.7_x86_64,,20-Jun-16,no,na,na,na,KKTC,ots,,Aytac Tanriverdi,Rukiye Ozturk,,6369,22-Jun-16,yes,KKTCITVAS,,
PRODUCTION,PHYSICAL,kvmolap1,192.168.3.21,na,na,kvmolap1,172.27.0.116,https,LINUX,12,64,rhel 6.7_x86_64,,20-Jun-16,no,na,na,na,KKTC,"Billing, crm",,Aytac Tanriverdi,Rukiye Ozturk,,6370,22-Jun-16,yes,KKTCITVAS,,
PRODUCTION,PHYSICAL,kvmolap2,192.168.3.22,na,na,kvmolap2,172.27.0.117,https,LINUX,12,64,rhel 6.7_x86_64,,20-Jun-16,no,na,na,na,KKTC,"Billing, crm",,Aytac Tanriverdi,Rukiye Ozturk,,6371,22-Jun-16,yes,KKTCITVAS,,
TEST,VIRTUAL,rf_sdfat1,10.177.244.48,tzlmngtdb01,vascluster_test_tuzla,vascluster_test_tuzla,10.177.232.8,vsphere client,LINUX,2,16,rhel 8.8_x86_64,,28-Jun-16,no,na,na,na,VAS,Release Management,,Ertun Ucyildiz,Onur Onan,no,6403,28-Jun-16,yes,RELEASEMNGMNT,,
PRODUCTION,VIRTUAL,ffallap1,10.84.143.77,ffallap1,EsyESXProd01,EsyESXProd01,10.86.14.60,vsphere client,LINUX,6,16,rhel 7.4_x86_64,,22-Jun-16,no,na,na,na,IT,Footfall,BS,Nilay Yilmaz,Rukiye Ozturk,,6404,19-Aug-15,yes,IT_SATIS_OPS,,
DR,PHYSICAL,hknnar04,172.31.83.61,NA,mp_hknnap04,mp_hknnap04,172.31.87.138,ssh,HP-UX,16,192,B.11.31,,21-May-15,NA,NA,NA,NA,IT,Billing Kenan,MC,Berkin Ucgul,Murat Cavli,NO,6424,15-Jul-16,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,meddbp1,10.86.255.79,meddbp1,na,meddbp1,10.86.2.22,https,LINUX,24,64,rhel 6.9_x86_64,,,yes,veritas,,,IT,mediation db server,,Mehmet Kurt,Rukiye Ozturk,no,716,,yes,IT-DATABASE,,
PRODUCTION,PHYSICAL,CCS1FEPAP01,10.144.5.16,NA,NA,CCS1ATAE_01,10.144.2.61-10.144.5.50,https,LINUX,na,na,na,,,yes,VERITAS Cluster,5.1,Check KeePass,IN,CCS,MC,Dogan Kahraman,Eren Orhan,,,,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,CCS1SEEAP01,10.144.5.17,NA,NA,CCS1ATAE_01,10.144.2.61-10.144.5.50,https,LINUX,na,na,na,,,no,NA,NA,Check KeePass,IN,CCS,MC,Dogan Kahraman,Eren Orhan,,,,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,CCS1FEPAP02,10.144.5.18,NA,NA,CCS1ATAE_01,10.144.2.61-10.144.5.50,https,LINUX,na,na,na,,,yes,VERITAS Cluster,5.1,Check KeePass,IN,CCS,MC,Dogan Kahraman,Eren Orhan,,,,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,CCS1SDPAP01,10.144.5.19,NA,NA,CCS1ATAE_01,10.144.2.61-10.144.5.50,https,LINUX,na,na,na,,,yes,VERITAS Cluster,5.1,Check KeePass,IN,CCS,MC,Dogan Kahraman,Eren Orhan,,,,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,CCS1SDPAP02,10.144.5.20,NA,NA,CCS1ATAE_01,10.144.2.61-10.144.5.50,https,LINUX,na,na,na,,,yes,VERITAS Cluster,5.1,Check KeePass,IN,CCS,MC,Dogan Kahraman,Eren Orhan,,,,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,w,10.144.5.21,NA,NA,CCS1ATAE_01,10.144.2.61-10.144.5.50,https,LINUX,na,na,na,,,yes,VERITAS Cluster,5.1,Check KeePass,IN,CCS,MC,Dogan Kahraman,Eren Orhan,,,,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,CCS1CBPAP02,10.144.5.22,NA,NA,CCS1ATAE_01,10.144.2.61-10.144.5.50,https,LINUX,na,na,na,,,yes,VERITAS Cluster,5.1,Check KeePass,IN,CCS,MC,Dogan Kahraman,Eren Orhan,,,,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,CCS1CBPAP03,10.144.5.23,NA,NA,CCS1ATAE_01,10.144.2.61-10.144.5.50,https,LINUX,na,na,na,,,yes,VERITAS Cluster,5.1,Check KeePass,IN,CCS,MC,Dogan Kahraman,Eren Orhan,,,,yes,IT-INMNG,,
PRODUCTION,PHYSICAL,CCS1CBPAP04,10.144.5.24,NA,NA,CCS1ATAE_01,10.144.2.61-10.144.5.50,https,LINUX,na,na,na,,,yes,VERITAS Cluster,5.1,Check KeePass,IN,CCS,MC,Dogan Kahraman,Eren Orhan,,,,yes,IT-INMNG,,
